seed_split,scenario,variant,variant_label,failure_mode,outcome,n,n_total,rate
evaluation,abundance_only,A_mean_shift_one_rep,A. original mean shift on one representation,abundance_change,not_computed,5,5,1.0
evaluation,abundance_only,A_mean_shift_one_rep,A. original mean shift on one representation,bootstrap_interval_coverage,not_computed,5,5,1.0
evaluation,abundance_only,A_mean_shift_one_rep,A. original mean shift on one representation,centroid_shift,correctly_rejects,5,5,1.0
evaluation,abundance_only,A_mean_shift_one_rep,A. original mean shift on one representation,dynamics_alignment,not_computed,5,5,1.0
evaluation,abundance_only,A_mean_shift_one_rep,A. original mean shift on one representation,local_geometry_distortion,not_computed,5,5,1.0
evaluation,abundance_only,A_mean_shift_one_rep,A. original mean shift on one representation,representation_corruption,not_computed,4,4,1.0
evaluation,abundance_only,A_mean_shift_one_rep,A. original mean shift on one representation,representation_instability,not_computed,5,5,1.0
evaluation,abundance_only,B_robust_shift_one_rep,B. robust shift on one representation,abundance_change,not_computed,5,5,1.0
evaluation,abundance_only,B_robust_shift_one_rep,B. robust shift on one representation,bootstrap_interval_coverage,misses,5,5,1.0
evaluation,abundance_only,B_robust_shift_one_rep,B. robust shift on one representation,centroid_shift,correctly_rejects,5,5,1.0
evaluation,abundance_only,B_robust_shift_one_rep,B. robust shift on one representation,dynamics_alignment,not_computed,5,5,1.0
evaluation,abundance_only,B_robust_shift_one_rep,B. robust shift on one representation,local_geometry_distortion,not_computed,5,5,1.0
evaluation,abundance_only,B_robust_shift_one_rep,B. robust shift on one representation,representation_corruption,not_computed,4,4,1.0
evaluation,abundance_only,B_robust_shift_one_rep,B. robust shift on one representation,representation_instability,not_computed,5,5,1.0
evaluation,abundance_only,C_robust_shift_representation_consensus,C. robust shift plus representation consensus,abundance_change,not_computed,5,5,1.0
evaluation,abundance_only,C_robust_shift_representation_consensus,C. robust shift plus representation consensus,bootstrap_interval_coverage,misses,5,5,1.0
evaluation,abundance_only,C_robust_shift_representation_consensus,C. robust shift plus representation consensus,centroid_shift,representation_unstable,5,5,1.0
evaluation,abundance_only,C_robust_shift_representation_consensus,C. robust shift plus representation consensus,dynamics_alignment,not_computed,5,5,1.0
evaluation,abundance_only,C_robust_shift_representation_consensus,C. robust shift plus representation consensus,local_geometry_distortion,not_computed,5,5,1.0
evaluation,abundance_only,C_robust_shift_representation_consensus,C. robust shift plus representation consensus,representation_corruption,not_computed,4,4,1.0
evaluation,abundance_only,C_robust_shift_representation_consensus,C. robust shift plus representation consensus,representation_instability,falsely_calls,5,5,1.0
evaluation,abundance_only,D_plus_local_geometry,D. C plus local geometry diagnostics,abundance_change,not_computed,5,5,1.0
evaluation,abundance_only,D_plus_local_geometry,D. C plus local geometry diagnostics,bootstrap_interval_coverage,misses,5,5,1.0
evaluation,abundance_only,D_plus_local_geometry,D. C plus local geometry diagnostics,centroid_shift,representation_unstable,5,5,1.0
evaluation,abundance_only,D_plus_local_geometry,D. C plus local geometry diagnostics,dynamics_alignment,not_computed,5,5,1.0
evaluation,abundance_only,D_plus_local_geometry,D. C plus local geometry diagnostics,local_geometry_distortion,correctly_rejects,5,5,1.0
evaluation,abundance_only,D_plus_local_geometry,D. C plus local geometry diagnostics,representation_corruption,correctly_rejects,3,4,0.75
evaluation,abundance_only,D_plus_local_geometry,D. C plus local geometry diagnostics,representation_corruption,falsely_calls,1,4,0.25
evaluation,abundance_only,D_plus_local_geometry,D. C plus local geometry diagnostics,representation_instability,falsely_calls,5,5,1.0
evaluation,abundance_only,E_plus_dynamics,E. D plus dynamics agreement,abundance_change,not_computed,5,5,1.0
evaluation,abundance_only,E_plus_dynamics,E. D plus dynamics agreement,bootstrap_interval_coverage,misses,5,5,1.0
evaluation,abundance_only,E_plus_dynamics,E. D plus dynamics agreement,centroid_shift,representation_unstable,5,5,1.0
evaluation,abundance_only,E_plus_dynamics,E. D plus dynamics agreement,dynamics_alignment,unavailable,5,5,1.0
evaluation,abundance_only,E_plus_dynamics,E. D plus dynamics agreement,local_geometry_distortion,correctly_rejects,5,5,1.0
evaluation,abundance_only,E_plus_dynamics,E. D plus dynamics agreement,representation_corruption,correctly_rejects,3,4,0.75
