job_id,seed_split,profile,scenario,seed,rep_a,rep_b,k,metric,value,pair_class
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_truth,X_rotated,15,neighbor_overlap,1.0,equivalent
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_truth,X_rotated,15,neighbor_jaccard,1.0,equivalent
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_truth,X_scaled,15,neighbor_overlap,1.0,equivalent
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_truth,X_scaled,15,neighbor_jaccard,1.0,equivalent
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_truth,X_padded,15,neighbor_overlap,1.0,equivalent
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_truth,X_padded,15,neighbor_jaccard,1.0,equivalent
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_truth,X_corrupted,15,neighbor_overlap,0.012708333333333332,corrupted
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_truth,X_corrupted,15,neighbor_jaccard,0.006596366995073891,corrupted
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_rotated,X_scaled,15,neighbor_overlap,1.0,equivalent
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_rotated,X_scaled,15,neighbor_jaccard,1.0,equivalent
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_rotated,X_padded,15,neighbor_overlap,1.0,equivalent
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_rotated,X_padded,15,neighbor_jaccard,1.0,equivalent
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_rotated,X_corrupted,15,neighbor_overlap,0.012708333333333332,corrupted
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_rotated,X_corrupted,15,neighbor_jaccard,0.006596366995073891,corrupted
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_scaled,X_padded,15,neighbor_overlap,1.0,equivalent
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_scaled,X_padded,15,neighbor_jaccard,1.0,equivalent
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_scaled,X_corrupted,15,neighbor_overlap,0.012708333333333332,corrupted
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_scaled,X_corrupted,15,neighbor_jaccard,0.006596366995073891,corrupted
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_padded,X_corrupted,15,neighbor_overlap,0.012708333333333332,corrupted
smoke_representation_corruption_calibration_seed0,calibration,smoke,representation_corruption,0,X_padded,X_corrupted,15,neighbor_jaccard,0.006596366995073891,corrupted
